entry_bar,exit_bar,side,ts,entry,sl,tp,gross_r,fee_r,net_r,reason
1216,1228,short,2022-08-07 04:00:00+00:00,22937.0,23280.76,22249.49,-1.0,0.0801,-1.0801,SL
2234,2245,short,2022-09-18 14:00:00+00:00,19803.0,20085.06,19238.87,2.0,0.0842,1.9158,TP
2452,2623,short,2022-09-27 16:00:00+00:00,19106.0,20403.88,16510.23,-1.0,0.0177,-1.0177,SL
3649,3776,short,2022-11-16 13:00:00+00:00,16495.0,17022.0,15440.99,2.0,0.0376,1.9624,TP
5473,5502,long,2023-01-31 13:00:00+00:00,23117.5,22783.19,23786.11,-1.0,0.083,-1.083,SL
6017,6022,long,2023-02-23 05:00:00+00:00,24401.9,23763.01,25679.67,-1.0,0.0458,-1.0458,SL
6767,6793,long,2023-03-26 11:00:00+00:00,27848.0,27297.58,28948.85,-1.0,0.0607,-1.0607,SL
6869,7131,short,2023-03-30 17:00:00+00:00,27829.9,29017.89,25453.92,-1.0,0.0281,-1.0281,SL
7278,7283,long,2023-04-16 18:00:00+00:00,30495.9,30083.89,31319.93,-1.0,0.0888,-1.0888,SL
7658,7701,long,2023-05-02 14:00:00+00:00,28352.0,27887.08,29281.83,2.0,0.0732,1.9268,TP
8110,8150,short,2023-05-21 10:00:00+00:00,26941.4,27195.17,26433.86,-1.0,0.1274,-1.1274,SL
8514,8597,long,2023-06-07 06:00:00+00:00,26820.7,25343.63,29774.84,-1.0,0.0218,-1.0218,SL
9142,9217,long,2023-07-03 10:00:00+00:00,30634.6,30108.26,31687.28,-1.0,0.0698,-1.0698,SL
9383,9386,short,2023-07-13 11:00:00+00:00,30525.0,30993.16,29588.68,-1.0,0.0782,-1.0782,SL
9732,9842,short,2023-07-28 00:00:00+00:00,29259.2,29569.54,28638.52,2.0,0.1131,1.8869,TP
11384,11423,long,2023-10-04 20:00:00+00:00,27636.0,27283.69,28340.62,-1.0,0.0941,-1.0941,SL
13416,13449,short,2023-12-28 12:00:00+00:00,42839.1,43457.01,41603.27,2.0,0.0832,1.9168,TP
14005,14013,short,2024-01-22 01:00:00+00:00,41375.5,41840.4,40445.7,2.0,0.1068,1.8932,TP
15447,15464,short,2024-03-22 03:00:00+00:00,66011.0,67812.74,62407.51,2.0,0.044,1.956,TP
16536,16757,short,2024-05-06 12:00:00+00:00,63577.1,65329.06,60073.17,-1.0,0.0435,-1.0435,SL
17352,17388,long,2024-06-09 12:00:00+00:00,69711.8,69100.83,70933.74,-1.0,0.1369,-1.1369,SL
17690,17696,short,2024-06-23 14:00:00+00:00,64163.6,64457.29,63576.21,2.0,0.2622,1.7378,TP
18962,18965,long,2024-08-15 14:00:00+00:00,59405.5,57729.81,62756.88,-1.0,0.0425,-1.0425,SL
21738,21752,short,2024-12-09 06:00:00+00:00,99087.2,101397.4,94466.81,2.0,0.0515,1.9485,TP
22557,22562,short,2025-01-12 09:00:00+00:00,93862.8,95040.05,91508.31,-1.0,0.0957,-1.0957,SL
22578,22604,short,2025-01-13 06:00:00+00:00,93600.1,96050.75,88698.79,-1.0,0.0458,-1.0458,SL
22958,22974,short,2025-01-29 02:00:00+00:00,101740.1,103903.8,97412.7,-1.0,0.0564,-1.0564,SL
23282,23304,short,2025-02-11 14:00:00+00:00,96922.5,98368.17,94031.16,2.0,0.0805,1.9195,TP
23533,23603,short,2025-02-22 01:00:00+00:00,96280.2,99006.71,90827.18,2.0,0.0424,1.9576,TP
24172,24251,short,2025-03-20 16:00:00+00:00,83764.5,86574.49,78144.52,-1.0,0.0358,-1.0358,SL
24492,24948,short,2025-04-03 00:00:00+00:00,83170.6,88648.66,72214.48,-1.0,0.0182,-1.0182,SL
26371,26377,long,2025-06-20 07:00:00+00:00,105769.9,104310.29,108689.13,-1.0,0.087,-1.087,SL
26663,26859,long,2025-07-02 11:00:00+00:00,107436.2,104953.54,112401.52,2.0,0.0519,1.9481,TP
27289,27371,short,2025-07-28 13:00:00+00:00,118429.5,119964.74,115359.01,2.0,0.0926,1.9074,TP
27654,27672,long,2025-08-12 18:00:00+00:00,119294.2,118031.85,121818.9,2.0,0.1134,1.8866,TP
28267,28291,long,2025-09-07 07:00:00+00:00,110715.8,110283.01,111581.39,2.0,0.307,1.693,TP
29013,29041,long,2025-10-08 09:00:00+00:00,122500.0,121036.44,125427.12,-1.0,0.1004,-1.1004,SL
29353,29360,long,2025-10-22 13:00:00+00:00,108734.5,107278.41,111646.67,-1.0,0.0896,-1.0896,SL
29523,29548,short,2025-10-29 15:00:00+00:00,111453.8,113711.6,106938.2,2.0,0.0592,1.9408,TP
29630,29643,short,2025-11-03 02:00:00+00:00,108982.0,110832.02,105281.96,2.0,0.0707,1.9293,TP
30460,30507,long,2025-12-07 16:00:00+00:00,89860.5,88029.38,93522.73,2.0,0.0589,1.9411,TP
31008,31083,long,2025-12-30 12:00:00+00:00,87995.6,86837.28,90312.25,2.0,0.0912,1.9088,TP
31988,32316,short,2026-02-09 08:00:00+00:00,69836.4,72326.35,64856.49,2.0,0.0337,1.9663,TP
33505,33513,long,2026-04-13 13:00:00+00:00,71618.1,70379.55,74095.2,2.0,0.0694,1.9306,TP
33809,33842,long,2026-04-26 05:00:00+00:00,77945.0,77186.04,79462.93,-1.0,0.1232,-1.1232,SL
34118,34162,long,2026-05-09 02:00:00+00:00,80379.6,79423.1,82292.61,2.0,0.1008,1.8992,TP
34490,34498,short,2026-05-24 14:00:00+00:00,76426.9,77167.09,74946.52,-1.0,0.1239,-1.1239,SL
34658,34679,short,2026-05-31 14:00:00+00:00,73577.1,74320.35,72090.61,2.0,0.1188,1.8812,TP
