entry_bar,exit_bar,side,setup,ts,entry,sl,tp1,tp,first_close_r,tp_full_r,gross_r,fee_r,net_r,reason
1148,1151,long,sweep,2021-08-04 08:00:00+00:00,37773.0,37560.75,38550.0,38722.5,3.6608,4.4735,3.864,0.2136,3.6504,TP1+TP
1988,2019,long,sweep,2021-09-08 08:00:00+00:00,45972.5,45391.25,47330.0,47387.5,2.3355,2.4344,2.3602,0.0949,2.2653,TP1+TP
2828,2835,long,sweep,2021-10-13 08:00:00+00:00,54656.5,54135.0,56696.0,56197.5,3.9108,2.9549,3.6719,0.1258,3.5461,TP1+TP
4124,4124,short,sweep,2021-12-06 08:00:00+00:00,48153.5,48576.38,47708.5,47433.2,1.0523,1.7033,0.7892,0.1366,0.6526,TP1+BE
4484,4487,short,sweep,2021-12-21 08:00:00+00:00,48557.5,49100.0,46658.5,47621.4,3.5005,1.7255,-1.0,0.1074,-1.1074,SL
4892,4896,short,sweep,2022-01-07 08:00:00+00:00,42071.0,42617.12,40952.5,41128.83,2.0481,1.7252,-1.0,0.0924,-1.0924,SL
5396,5396,long,sweep,2022-01-28 08:00:00+00:00,36650.0,36427.38,37497.5,37525.0,3.8069,3.9304,-1.0,0.1976,-1.1976,SL
5804,5805,short,sweep,2022-02-14 08:00:00+00:00,42045.0,42243.38,41566.5,41739.5,2.4121,1.54,-1.0,0.2543,-1.2543,SL
6236,6241,long,sweep,2022-03-04 08:00:00+00:00,41573.0,41210.38,42505.5,42142.5,2.5715,1.5705,-1.0,0.1376,-1.1376,SL
6740,6742,long,sweep,2022-03-25 08:00:00+00:00,43985.0,43848.0,44388.0,44220.83,2.9416,1.7214,2.6366,0.3853,2.2513,TP1+TP
7076,7078,short,sweep,2022-04-08 08:00:00+00:00,43692.5,43816.25,43300.0,43417.75,3.1717,2.2202,2.9338,0.4237,2.5102,TP1+TP
7172,7174,short,sweep,2022-04-12 08:00:00+00:00,40150.5,40387.0,39216.0,39538.5,3.9514,2.5877,-1.0,0.2037,-1.2037,SL
7676,7678,short,sweep,2022-05-03 08:00:00+00:00,38530.0,38604.0,38320.0,38369.25,2.8378,2.1723,2.1284,0.6248,1.5036,TP1+BE
8756,8777,short,sweep,2022-06-17 08:00:00+00:00,21058.0,21330.75,20230.0,20209.0,3.0357,3.1127,3.055,0.0926,2.9623,TP1+TP
10772,10773,short,sweep,2022-09-09 08:00:00+00:00,20757.0,21142.12,19284.5,20140.0,3.8234,1.6021,-1.0,0.0647,-1.0647,SL
11396,11398,long,sweep,2022-10-05 08:00:00+00:00,20120.5,20048.75,20354.5,20303.0,3.2613,2.5436,-1.0,0.3365,-1.3365,SL
11420,11424,long,sweep,2022-10-06 08:00:00+00:00,20137.0,20061.38,20435.0,20298.88,3.9405,2.1405,-1.0,0.3195,-1.3195,SL
11540,11542,short,sweep,2022-10-11 08:00:00+00:00,19103.5,19149.5,18939.0,18945.67,3.5761,3.4312,-1.0,0.4984,-1.4984,SL
11948,11950,long,sweep,2022-10-28 08:00:00+00:00,20171.0,20103.0,20326.0,20302.3,2.2794,1.9309,-1.0,0.356,-1.356,SL
12380,12384,short,sweep,2022-11-15 08:00:00+00:00,16911.0,17014.0,16515.5,16396.0,3.8398,5.0,-1.0,0.197,-1.197,SL
12908,12941,long,sweep,2022-12-07 08:00:00+00:00,16793.0,16688.75,17135.0,16994.38,3.2806,1.9317,2.9433,0.1933,2.75,TP1+TP
14300,14301,long,sweep,2023-02-03 08:00:00+00:00,23431.0,23383.75,23599.5,23514.75,3.5661,1.7725,-1.0,0.5951,-1.5951,SL
17588,17595,long,sweep,2023-06-20 08:00:00+00:00,26747.0,26640.22,27166.0,26977.1,3.9241,2.155,3.4819,0.3006,3.1813,TP1+TP
17804,17805,short,sweep,2023-06-29 08:00:00+00:00,30372.8,30468.45,30027.8,30217.52,3.6069,1.6235,-1.0,0.381,-1.381,SL
17948,17948,long,sweep,2023-07-05 08:00:00+00:00,30752.6,30719.82,30869.1,30884.55,3.5545,4.0259,-1.0,1.126,-2.126,SL
18716,18719,short,sweep,2023-08-06 08:00:00+00:00,29095.7,29114.72,29027.0,29051.36,3.611,2.3308,3.291,1.8352,1.4558,TP1+TP
18908,18913,short,sweep,2023-08-14 08:00:00+00:00,29416.2,29510.7,29080.0,29196.61,3.5577,2.3237,-1.0,0.3735,-1.3735,SL
20276,20279,short,sweep,2023-10-10 08:00:00+00:00,27660.3,27717.2,27477.4,27535.52,3.2144,2.193,2.9591,0.5833,2.3757,TP1+TP
20852,20852,long,sweep,2023-11-03 08:00:00+00:00,34431.6,34266.93,34959.7,34788.1,3.2069,2.1649,-1.0,0.2509,-1.2509,SL
21020,21022,long,sweep,2023-11-10 08:00:00+00:00,36560.1,36438.57,36955.0,36935.85,3.2495,3.092,3.2101,0.361,2.8491,TP1+TP
21788,21794,short,sweep,2023-12-12 08:00:00+00:00,42066.1,42286.62,41213.0,41597.22,3.8685,2.1262,3.4329,0.2289,3.204,TP1+TP
22532,22532,long,sweep,2024-01-12 08:00:00+00:00,45868.1,45650.85,46550.0,46270.83,3.1388,1.8538,-1.0,0.2534,-1.2534,SL
23564,23565,short,sweep,2024-02-24 08:00:00+00:00,51015.8,51149.78,50600.0,50742.6,3.1036,2.0392,-1.0,0.4569,-1.4569,SL
24524,24527,short,sweep,2024-04-04 08:00:00+00:00,66226.0,66563.07,65035.7,65558.62,3.5313,1.9799,-1.0,0.2358,-1.2358,SL
24644,24648,long,sweep,2024-04-09 08:00:00+00:00,70535.2,70127.95,71814.0,71221.65,3.1401,1.6856,-1.0,0.2078,-1.2078,SL
25028,25029,long,sweep,2024-04-25 08:00:00+00:00,63907.4,63679.93,64710.0,64450.84,3.5283,2.389,-1.0,0.3371,-1.3371,SL
26156,26156,long,sweep,2024-06-11 08:00:00+00:00,67502.1,66935.03,69570.0,68538.19,3.6466,1.8271,-1.0,0.1428,-1.1428,SL
26228,26232,short,sweep,2024-06-14 08:00:00+00:00,67129.6,67314.9,66450.5,66779.22,3.6649,1.8909,-1.0,0.4347,-1.4347,SL
27020,27022,long,sweep,2024-07-17 08:00:00+00:00,65149.8,64847.5,66119.2,65692.75,3.2067,1.7961,-1.0,0.2586,-1.2586,SL
28820,28820,long,sweep,2024-09-30 08:00:00+00:00,64297.9,63939.2,65604.8,65050.64,3.6434,2.0985,-1.0,0.2151,-1.2151,SL
29156,29157,short,sweep,2024-10-14 08:00:00+00:00,64403.8,64971.88,62422.5,63511.12,3.4877,1.5714,-1.0,0.136,-1.136,SL
31460,31467,long,sweep,2025-01-18 08:00:00+00:00,103228.4,102710.52,104617.0,105817.77,2.6813,5.0,2.011,0.2392,1.7718,TP1+BE
31556,31556,long,sweep,2025-01-22 08:00:00+00:00,105264.4,104924.9,106387.4,106961.9,3.3078,5.0,-1.0,0.3721,-1.3721,SL
31724,31734,short,sweep,2025-01-29 08:00:00+00:00,102699.8,103095.32,101265.3,101484.0,3.6268,3.0739,-1.0,0.3116,-1.3116,SL
32396,32399,long,sweep,2025-02-26 08:00:00+00:00,88446.4,88131.82,89389.9,89968.33,2.9993,4.8381,-1.0,0.3374,-1.3374,SL
33812,33814,long,sweep,2025-04-26 08:00:00+00:00,94268.0,94046.52,95150.0,94771.34,3.9824,2.2727,-1.0,0.5108,-1.5108,SL
34004,34004,long,sweep,2025-05-04 08:00:00+00:00,95605.4,95425.0,96257.0,96371.49,3.612,4.2466,-1.0,0.636,-1.636,SL
34700,34700,short,sweep,2025-06-02 08:00:00+00:00,105294.5,105598.7,104502.2,104509.35,2.6045,2.581,1.9534,0.4154,1.538,TP1+BE
