entry_bar,exit_bar,ts,entry,sl,tp,gross_r,fee_r,net_r,reason
2285,2296,2024-06-23 09:05:00+00:00,64389.9,64290.94,64587.81,-1.0,0.7808,-1.7808,SL
121687,121689,2025-08-11 23:15:00+00:00,118797.3,118582.9,119226.1,-1.0,0.6649,-1.6649,SL
133335,133410,2025-09-21 09:55:00+00:00,115635.3,115404.38,116097.14,-1.0,0.6009,-1.6009,SL
133248,133329,2025-09-21 02:40:00+00:00,115564.4,115306.28,116080.64,-1.0,0.5373,-1.5373,SL
111125,111156,2025-07-06 07:05:00+00:00,108066.6,107824.37,108551.06,-1.0,0.5354,-1.5354,SL
167449,167465,2026-01-17 20:45:00+00:00,95339.0,95123.98,95769.04,-1.0,0.5321,-1.5321,SL
70508,70513,2025-02-15 06:20:00+00:00,97601.1,97371.43,98060.44,-1.0,0.51,-1.51,SL
201497,201525,2026-05-16 02:05:00+00:00,79129.5,78940.78,79506.94,-1.0,0.5032,-1.5032,SL
167491,167500,2026-01-18 00:15:00+00:00,95184.0,94956.55,95638.9,-1.0,0.5022,-1.5022,SL
185589,185605,2026-03-21 20:25:00+00:00,70413.5,70239.59,70761.32,-1.0,0.4859,-1.4859,SL
131931,131938,2025-09-16 12:55:00+00:00,115385.7,115100.68,115955.73,-1.0,0.4858,-1.4858,SL
166419,166477,2026-01-14 06:55:00+00:00,94990.0,94755.15,95459.7,-1.0,0.4854,-1.4854,SL
131064,131077,2025-09-13 12:40:00+00:00,115980.8,115691.89,116558.62,-1.0,0.4817,-1.4817,SL
132647,132665,2025-09-19 00:35:00+00:00,117291.3,116996.59,117880.73,-1.0,0.4776,-1.4776,SL
110472,110474,2025-07-04 00:40:00+00:00,109603.7,109327.46,110156.17,-1.0,0.4761,-1.4761,SL
28481,28492,2024-09-22 08:05:00+00:00,62963.0,62797.24,63294.52,-1.0,0.4558,-1.4558,SL
101067,101070,2025-06-01 08:55:00+00:00,104346.0,104069.13,104899.75,-1.0,0.4522,-1.4522,SL
138392,138400,2025-10-08 23:20:00+00:00,123382.0,123054.52,124036.96,-1.0,0.4521,-1.4521,SL
103032,103085,2025-06-08 04:40:00+00:00,105525.3,105242.25,106091.4,-1.0,0.4474,-1.4474,SL
26342,26493,2024-09-14 21:50:00+00:00,60028.2,59867.07,60350.45,-1.0,0.4471,-1.4471,SL
