entry_bar,exit_bar,ts,entry,sl,tp,gross_r,fee_r,net_r,reason
15448,15697,2024-08-08 02:00:00+00:00,57136.0,54815.43,61777.14,2.0,0.0295,1.9705,TP
63271,63454,2025-01-21 03:15:00+00:00,102917.3,100767.63,107216.64,2.0,0.0575,1.9425,TP
151843,152442,2025-11-24 16:15:00+00:00,87122.0,85527.79,90310.43,2.0,0.0656,1.9344,TP
75821,75961,2025-03-05 17:05:00+00:00,89105.4,87500.41,92315.38,2.0,0.0666,1.9334,TP
49626,49651,2024-12-04 18:10:00+00:00,95990.1,94543.36,98883.58,2.0,0.0796,1.9204,TP
173393,173637,2026-02-07 12:05:00+00:00,68751.5,67754.78,70744.95,2.0,0.0828,1.9172,TP
45043,45298,2024-11-18 20:15:00+00:00,91008.8,89862.25,93301.9,2.0,0.0953,1.9047,TP
209169,209795,2026-06-11 17:25:00+00:00,62981.9,62262.68,64420.35,2.0,0.1051,1.8949,TP
51454,51598,2024-12-11 02:30:00+00:00,96777.7,95707.3,98918.51,2.0,0.1085,1.8915,TP
41814,42142,2024-11-07 15:10:00+00:00,75267.7,74447.58,76907.94,2.0,0.1101,1.8899,TP
12546,12700,2024-07-29 00:10:00+00:00,68589.8,67874.26,70020.88,2.0,0.115,1.885,TP
137451,137743,2025-10-05 16:55:00+00:00,123212.6,121981.9,125674.01,2.0,0.1201,1.8799,TP
35158,35173,2024-10-15 12:30:00+00:00,65794.3,65188.75,67005.41,2.0,0.1304,1.8696,TP
53033,53044,2024-12-16 14:05:00+00:00,104159.3,103201.0,106075.91,2.0,0.1304,1.8696,TP
151209,151378,2025-11-22 11:25:00+00:00,84190.6,83459.76,85652.29,2.0,0.1382,1.8618,TP
183831,183889,2026-03-15 17:55:00+00:00,71782.1,71160.57,73025.16,2.0,0.1386,1.8614,TP
6753,6860,2024-07-08 21:25:00+00:00,56589.7,56107.14,57554.83,2.0,0.1407,1.8593,TP
104958,105344,2025-06-14 21:10:00+00:00,104980.9,104145.75,106651.2,2.0,0.1508,1.8492,TP
121225,121431,2025-08-10 08:45:00+00:00,118250.0,117313.57,120122.86,2.0,0.1515,1.8485,TP
127907,128036,2025-09-02 13:35:00+00:00,109999.0,109130.36,111736.28,2.0,0.152,1.848,TP
