entry_bar,exit_bar,ts,entry,sl,tp,gross_r,fee_r,net_r,reason
663,755,2024-06-17 17:55:00+00:00,66579.2,65019.22,69699.17,-1.0,0.0512,-1.0512,SL
1530,1603,2024-06-20 18:10:00+00:00,64971.6,64611.32,65692.15,-1.0,0.2164,-1.2164,SL
2285,2296,2024-06-23 09:05:00+00:00,64389.9,64290.94,64587.81,-1.0,0.7808,-1.7808,SL
4199,4219,2024-06-30 00:35:00+00:00,61019.5,60823.92,61410.67,-1.0,0.3744,-1.3744,SL
4773,4851,2024-07-02 00:25:00+00:00,62943.9,62716.22,63399.26,-1.0,0.3318,-1.3318,SL
6753,6860,2024-07-08 21:25:00+00:00,56589.7,56107.14,57554.83,2.0,0.1407,1.8593,TP
7198,7221,2024-07-10 10:30:00+00:00,58595.7,58251.69,59283.72,-1.0,0.2044,-1.2044,SL
7336,7379,2024-07-10 22:00:00+00:00,57539.2,57266.18,58085.25,2.0,0.2529,1.7471,TP
7656,7661,2024-07-12 00:40:00+00:00,57553.9,57069.57,58522.55,-1.0,0.1426,-1.1426,SL
8400,8470,2024-07-14 14:40:00+00:00,59735.0,59493.65,60217.71,2.0,0.297,1.703,TP
8708,8777,2024-07-15 16:20:00+00:00,63164.9,62757.18,63980.34,2.0,0.1859,1.8141,TP
8936,8968,2024-07-16 11:20:00+00:00,63650.2,63037.6,64875.4,-1.0,0.1247,-1.1247,SL
9190,9220,2024-07-17 08:30:00+00:00,65385.0,64943.29,66268.42,-1.0,0.1776,-1.1776,SL
10412,10453,2024-07-21 14:20:00+00:00,67102.6,66590.84,68126.12,-1.0,0.1573,-1.1573,SL
10474,10536,2024-07-21 19:30:00+00:00,67434.9,66961.97,68380.76,2.0,0.1711,1.8289,TP
10917,10977,2024-07-23 08:25:00+00:00,66729.0,66163.77,67859.46,-1.0,0.1417,-1.1417,SL
11937,12124,2024-07-26 21:25:00+00:00,67900.8,67592.44,68517.52,2.0,0.2642,1.7358,TP
12229,12256,2024-07-27 21:45:00+00:00,68728.4,67438.39,71308.41,-1.0,0.0639,-1.0639,SL
12546,12700,2024-07-29 00:10:00+00:00,68589.8,67874.26,70020.88,2.0,0.115,1.885,TP
13272,13283,2024-07-31 12:40:00+00:00,66180.2,65890.54,66759.51,2.0,0.2742,1.7258,TP
13803,13845,2024-08-02 08:55:00+00:00,64561.6,64050.98,65582.83,-1.0,0.1517,-1.1517,SL
13851,13870,2024-08-02 12:55:00+00:00,64822.1,64249.59,65967.13,-1.0,0.1359,-1.1359,SL
15382,15403,2024-08-07 20:30:00+00:00,55140.7,54596.05,56230.0,-1.0,0.1215,-1.1215,SL
15448,15697,2024-08-08 02:00:00+00:00,57136.0,54815.43,61777.14,2.0,0.0295,1.9705,TP
15914,15930,2024-08-09 16:50:00+00:00,60302.2,59913.33,61079.95,-1.0,0.1861,-1.1861,SL
15942,15954,2024-08-09 19:10:00+00:00,60397.6,60120.12,60952.56,2.0,0.2612,1.7388,TP
16289,16399,2024-08-11 00:05:00+00:00,61090.0,60795.34,61679.31,2.0,0.2488,1.7512,TP
16453,16467,2024-08-11 13:45:00+00:00,60544.1,60074.17,61483.97,-1.0,0.1546,-1.1546,SL
17159,17291,2024-08-14 00:35:00+00:00,60684.0,60339.7,61372.6,2.0,0.2115,1.7885,TP
19528,19617,2024-08-22 06:00:00+00:00,60843.9,60556.28,61419.13,-1.0,0.2539,-1.2539,SL
20381,20405,2024-08-25 05:05:00+00:00,64148.8,63899.84,64646.73,-1.0,0.3092,-1.3092,SL
20452,20575,2024-08-25 11:00:00+00:00,63950.1,63695.94,64458.42,2.0,0.3019,1.6981,TP
20657,20689,2024-08-26 04:05:00+00:00,64139.9,63665.67,65088.36,-1.0,0.1623,-1.1623,SL
20732,20759,2024-08-26 10:20:00+00:00,63932.5,63516.42,64764.66,-1.0,0.1844,-1.1844,SL
21840,21909,2024-08-30 06:40:00+00:00,59255.8,58927.11,59913.17,2.0,0.2163,1.7837,TP
21912,21924,2024-08-30 12:40:00+00:00,59653.5,59279.46,60401.58,-1.0,0.1914,-1.1914,SL
21928,21930,2024-08-30 14:00:00+00:00,59740.1,59219.42,60781.46,-1.0,0.1377,-1.1377,SL
23062,23073,2024-09-03 12:30:00+00:00,59266.3,58855.79,60087.33,-1.0,0.1732,-1.1732,SL
23578,23589,2024-09-05 07:30:00+00:00,57199.9,57012.93,57573.84,-1.0,0.3671,-1.3671,SL
23651,23667,2024-09-05 13:35:00+00:00,57029.3,56323.22,58441.46,-1.0,0.0969,-1.0969,SL
24991,25074,2024-09-10 05:15:00+00:00,56738.1,56423.42,57367.46,2.0,0.2164,1.7836,TP
25114,25119,2024-09-10 15:30:00+00:00,57008.4,56543.4,57938.4,-1.0,0.1471,-1.1471,SL
25859,25870,2024-09-13 05:35:00+00:00,57949.0,57743.0,58361.0,-1.0,0.3376,-1.3376,SL
26342,26493,2024-09-14 21:50:00+00:00,60028.2,59867.07,60350.45,-1.0,0.4471,-1.4471,SL
27922,27964,2024-09-20 09:30:00+00:00,63468.2,63178.06,64048.48,-1.0,0.2625,-1.2625,SL
27980,28024,2024-09-20 14:20:00+00:00,63190.1,62503.43,64563.43,-1.0,0.1104,-1.1104,SL
28369,28380,2024-09-21 22:45:00+00:00,63143.3,62970.87,63488.17,2.0,0.4394,1.5606,TP
28481,28492,2024-09-22 08:05:00+00:00,62963.0,62797.24,63294.52,-1.0,0.4558,-1.4558,SL
28522,28552,2024-09-22 11:30:00+00:00,62728.4,62462.47,63260.25,-1.0,0.2831,-1.2831,SL
28584,28647,2024-09-22 16:40:00+00:00,62781.6,62467.87,63409.06,-1.0,0.2401,-1.2401,SL
29415,29456,2024-09-25 13:55:00+00:00,63741.6,63182.45,64859.89,-1.0,0.1368,-1.1368,SL
29974,29995,2024-09-27 12:30:00+00:00,65598.5,65218.72,66358.07,2.0,0.2073,1.7927,TP
30090,30208,2024-09-27 22:10:00+00:00,65876.6,65646.79,66336.23,-1.0,0.344,-1.344,SL
32782,32814,2024-10-07 06:30:00+00:00,63609.2,63269.77,64288.07,-1.0,0.2249,-1.2249,SL
35158,35173,2024-10-15 12:30:00+00:00,65794.3,65188.75,67005.41,2.0,0.1304,1.8696,TP
35227,35258,2024-10-15 18:15:00+00:00,67298.6,66383.35,69129.1,-1.0,0.0882,-1.0882,SL
35593,35601,2024-10-17 00:45:00+00:00,67799.8,67486.65,68426.11,-1.0,0.2598,-1.2598,SL
35690,35701,2024-10-17 08:50:00+00:00,67450.0,67247.19,67855.63,-1.0,0.3991,-1.3991,SL
35749,35752,2024-10-17 13:45:00+00:00,67240.0,66697.04,68325.93,-1.0,0.1486,-1.1486,SL
36619,36886,2024-10-20 14:15:00+00:00,68731.4,68109.32,69975.55,-1.0,0.1326,-1.1326,SL
37928,37939,2024-10-25 03:20:00+00:00,68209.6,67735.1,69158.61,-1.0,0.1725,-1.1725,SL
38054,38077,2024-10-25 13:50:00+00:00,68166.0,67682.25,69133.5,-1.0,0.1691,-1.1691,SL
38486,38620,2024-10-27 01:50:00+00:00,67107.2,66882.75,67556.1,2.0,0.3588,1.6412,TP
38821,38837,2024-10-28 05:45:00+00:00,67799.3,67548.88,68300.13,2.0,0.3249,1.6751,TP
39497,39781,2024-10-30 14:05:00+00:00,72205.9,71383.64,73850.41,-1.0,0.1054,-1.1054,SL
40958,40966,2024-11-04 15:50:00+00:00,68732.8,68162.17,69874.06,-1.0,0.1445,-1.1445,SL
41783,41795,2024-11-07 12:35:00+00:00,75040.8,74686.84,75748.72,-1.0,0.2544,-1.2544,SL
41814,42142,2024-11-07 15:10:00+00:00,75267.7,74447.58,76907.94,2.0,0.1101,1.8899,TP
42243,42402,2024-11-09 02:55:00+00:00,76440.0,76073.85,77172.3,-1.0,0.2505,-1.2505,SL
43309,43414,2024-11-12 19:45:00+00:00,89037.1,86840.27,93430.75,-1.0,0.0486,-1.0486,SL
43639,43731,2024-11-13 23:15:00+00:00,90000.0,89192.12,91615.76,-1.0,0.1337,-1.1337,SL
43741,43824,2024-11-14 07:45:00+00:00,90442.8,89374.84,92578.73,-1.0,0.1016,-1.1016,SL
45043,45298,2024-11-18 20:15:00+00:00,91008.8,89862.25,93301.9,2.0,0.0953,1.9047,TP
45421,45481,2024-11-20 03:45:00+00:00,92124.9,91493.81,93387.07,2.0,0.1752,1.8248,TP
46135,46484,2024-11-22 15:15:00+00:00,98259.6,97203.7,100371.4,-1.0,0.1117,-1.1117,SL
46488,46676,2024-11-23 20:40:00+00:00,97764.1,97121.18,99049.94,-1.0,0.1825,-1.1825,SL
49582,49587,2024-12-04 14:30:00+00:00,96326.7,95584.42,97811.26,-1.0,0.1557,-1.1557,SL
49626,49651,2024-12-04 18:10:00+00:00,95990.1,94543.36,98883.58,2.0,0.0796,1.9204,TP
50640,50662,2024-12-08 06:40:00+00:00,99873.8,99320.58,100980.24,-1.0,0.2166,-1.2166,SL
50683,50839,2024-12-08 10:15:00+00:00,99410.8,98738.16,100756.07,2.0,0.1774,1.8226,TP
51454,51598,2024-12-11 02:30:00+00:00,96777.7,95707.3,98918.51,2.0,0.1085,1.8915,TP
51813,51845,2024-12-12 08:25:00+00:00,100875.3,100384.12,101857.67,-1.0,0.2464,-1.2464,SL
51860,51900,2024-12-12 12:20:00+00:00,100767.1,100221.88,101857.54,2.0,0.2218,1.7782,TP
