entry_bar,exit_bar,ts,entry,sl,tp,gross_r,fee_r,net_r,reason
17370,17406,2024-06-09 12:00:00+00:00,69711.8,69100.83,70933.74,-1.0,0.1369,-1.1369,SL
33827,33860,2026-04-26 05:00:00+00:00,77945.0,77186.04,79462.93,-1.0,0.1232,-1.1232,SL
19877,19886,2024-09-21 23:00:00+00:00,63311.5,62650.09,64634.33,-1.0,0.1149,-1.1149,SL
29031,29059,2025-10-08 09:00:00+00:00,122500.0,121036.44,125427.12,-1.0,0.1004,-1.1004,SL
11402,11441,2023-10-04 20:00:00+00:00,27636.0,27283.69,28340.62,-1.0,0.0941,-1.0941,SL
34197,34220,2026-05-11 15:00:00+00:00,81403.8,80329.59,83552.22,-1.0,0.0909,-1.0909,SL
29371,29378,2025-10-22 13:00:00+00:00,108734.5,107278.41,111646.67,-1.0,0.0896,-1.0896,SL
7296,7301,2023-04-16 18:00:00+00:00,30495.9,30083.89,31319.93,-1.0,0.0888,-1.0888,SL
26389,26395,2025-06-20 07:00:00+00:00,105769.9,104310.29,108689.13,-1.0,0.087,-1.087,SL
5491,5520,2023-01-31 13:00:00+00:00,23117.5,22783.19,23786.11,-1.0,0.083,-1.083,SL
29840,29843,2025-11-11 02:00:00+00:00,106596.9,105025.27,109740.16,-1.0,0.0814,-1.0814,SL
12953,13015,2023-12-08 11:00:00+00:00,43708.0,42962.0,45200.01,-1.0,0.0703,-1.0703,SL
9160,9235,2023-07-03 10:00:00+00:00,30634.6,30108.26,31687.28,-1.0,0.0698,-1.0698,SL
22191,22196,2024-12-27 09:00:00+00:00,96732.9,94959.65,100279.41,-1.0,0.0655,-1.0655,SL
6785,6811,2023-03-26 11:00:00+00:00,27848.0,27297.58,28948.85,-1.0,0.0607,-1.0607,SL
2946,2994,2022-10-17 12:00:00+00:00,19506.0,19071.91,20374.18,-1.0,0.0539,-1.0539,SL
8934,9090,2023-06-24 00:00:00+00:00,30472.5,29755.51,31906.47,-1.0,0.051,-1.051,SL
6035,6040,2023-02-23 05:00:00+00:00,24401.9,23763.01,25679.67,-1.0,0.0458,-1.0458,SL
19994,20092,2024-09-26 20:00:00+00:00,64620.3,62837.1,68186.7,-1.0,0.0435,-1.0435,SL
12085,12109,2023-11-02 07:00:00+00:00,35305.4,34262.8,37390.59,-1.0,0.0406,-1.0406,SL
