entry_bar,exit_bar,side,ts,entry,sl,tp,gross_r,fee_r,net_r,reason
1409,1412,short,2026-03-23 06:20:00+00:00,68531.1,68943.07,67707.15,2.0,0.1996,1.8004,TP
1992,2010,short,2026-03-25 06:55:00+00:00,70956.7,71320.05,70230.0,-1.0,0.2343,-1.2343,SL
2163,2257,long,2026-03-25 21:10:00+00:00,71134.9,70529.4,72345.9,-1.0,0.141,-1.141,SL
3073,3099,long,2026-03-29 01:00:00+00:00,66493.5,66183.75,67113.0,2.0,0.2576,1.7424,TP
3513,3556,short,2026-03-30 13:40:00+00:00,67666.9,68071.6,66857.49,2.0,0.2006,1.7994,TP
6988,7026,long,2026-04-11 15:15:00+00:00,72766.8,72495.33,73309.74,2.0,0.3217,1.6783,TP
10440,10471,long,2026-04-23 14:55:00+00:00,78143.3,77367.46,79694.99,-1.0,0.1209,-1.1209,SL
10973,11035,short,2026-04-25 11:20:00+00:00,77636.7,77864.59,77180.93,2.0,0.4088,1.5912,TP
12926,13111,long,2026-05-02 06:05:00+00:00,78206.6,77983.54,78652.72,2.0,0.4207,1.5793,TP
13223,13286,long,2026-05-03 06:50:00+00:00,78282.2,77994.03,78858.54,2.0,0.326,1.674,TP
14291,14299,long,2026-05-06 23:50:00+00:00,81395.3,81061.06,82063.78,-1.0,0.2922,-1.2922,SL
14353,14417,long,2026-05-07 05:00:00+00:00,81060.5,80646.47,81888.55,-1.0,0.2349,-1.2349,SL
16910,16938,long,2026-05-16 02:05:00+00:00,79129.5,78940.78,79506.94,-1.0,0.5032,-1.5032,SL
18044,18097,short,2026-05-20 00:35:00+00:00,76645.5,76906.63,76123.24,-1.0,0.3522,-1.3522,SL
18614,18660,short,2026-05-22 00:05:00+00:00,77489.2,77804.93,76857.75,-1.0,0.2945,-1.2945,SL
18677,18783,short,2026-05-22 05:20:00+00:00,77535.0,77848.47,76908.06,2.0,0.2968,1.7032,TP
19286,19300,short,2026-05-24 08:05:00+00:00,76731.8,76937.16,76321.08,-1.0,0.4484,-1.4484,SL
19931,19944,long,2026-05-26 13:50:00+00:00,77152.9,76670.35,78117.99,-1.0,0.1919,-1.1919,SL
20613,20814,short,2026-05-28 22:40:00+00:00,73480.1,73993.92,72452.46,-1.0,0.1716,-1.1716,SL
24956,24989,long,2026-06-13 00:35:00+00:00,63600.0,63413.12,63973.75,-1.0,0.4084,-1.4084,SL
